# v1 cointegration corpus retired 2026-05-30
# 398 rows from cointegration_sheet tagged methodology_version=v1_raw_adf
# columns: run_id | directive_id | pair_a | pair_b | is_current | completed_at_utc
#
c5e72472c7a23ac03c3bca09 | 90_PORT_AUDUSDNZDJPY_15M_COINTREV_V3_L30__E251027 | AUDUSD | NZDJPY | 1 | 2026-05-28T14:38:34Z
0817207d494a585dc96fa56a | 90_PORT_AUS200GBPAUD_15M_COINTREV_V3_L30__E250116 | AUS200 | GBPAUD | 1 | 2026-05-28T14:38:46Z
215776498d7cf11b74567f8b | 90_PORT_AUDUSDUK100_15M_COINTREV_V3_L30__E231229 | AUDUSD | UK100 | 1 | 2026-05-28T14:38:47Z
bbcbf86ac5ba6c0365fadeaf | 90_PORT_AUDUSDJPN225_15M_COINTREV_V3_L30__E241205 | AUDUSD | JPN225 | 1 | 2026-05-28T14:39:00Z
5e2114170ed51450b3124a46 | 90_PORT_AUS200BTCUSD_15M_COINTREV_V3_L30__E250929 | AUS200 | BTCUSD | 1 | 2026-05-28T14:39:01Z
bc28f1b507380f4d2a71b0b5 | 90_PORT_AUS200GBPJPY_15M_COINTREV_V3_L30__E250815 | AUS200 | GBPJPY | 1 | 2026-05-28T14:39:23Z
1fdeb4268baf55de0a060f22 | 90_PORT_AUS200GBPNZD_15M_COINTREV_V3_L30__E241105 | AUS200 | GBPNZD | 1 | 2026-05-28T14:39:24Z
a5fd89f1534fd326ab062006 | 90_PORT_AUS200EURUSD_15M_COINTREV_V3_L30__E260128 | AUS200 | EURUSD | 1 | 2026-05-28T14:39:32Z
3058b304f032255d11e9ef17 | 90_PORT_AUS200GBPNZD_15M_COINTREV_V3_L30__E250102 | AUS200 | GBPNZD | 1 | 2026-05-28T14:39:33Z
f573483cb486acde8a73e197 | 90_PORT_AUS200GBPAUD_15M_COINTREV_V3_L30__E240805 | AUS200 | GBPAUD | 1 | 2026-05-28T14:39:53Z
fc30e324997b9bbcbc9f60eb | 90_PORT_AUS200GER40_15M_COINTREV_V3_L30__E251230 | AUS200 | GER40 | 1 | 2026-05-28T14:40:06Z
9b9b845b84e8a1aa21cab680 | 90_PORT_AUS200NAS100_15M_COINTREV_V3_L30__E240411 | AUS200 | NAS100 | 1 | 2026-05-28T14:40:21Z
33f436d93e4be3e298115937 | 90_PORT_AUS200NZDJPY_15M_COINTREV_V3_L30__E251021 | AUS200 | NZDJPY | 1 | 2026-05-28T14:40:24Z
315ed73dfb2d785ac2deb702 | 90_PORT_AUS200JPN225_15M_COINTREV_V3_L30__E250624 | AUS200 | JPN225 | 1 | 2026-05-28T14:41:00Z
